teks,emosi,level,jawaban
saya merasa selalu salah di mata guru,marah,sedang,Cobalah berdiskusi dengan guru tersebut untuk memperbaiki komunikasi.
saya ingin pindah sekolah saja,marah,berat,Pikirkan matang-matang alasan utamanya sebelum mengambil keputusan besar.
kenapa sekolah harus melelahkan begini,marah,sedang,Sekolah adalah proses pendewasaan. Nikmati saja prosesnya perlahan.
saya benci saat teman menyontek saya,marah,ringan,Wajar jika kamu marah. Kamu berhak menjaga hasil kerja kerasmu.
saya benci suasana di kelas,marah,sedang,Apa yang spesifik membuatmu tidak nyaman? Mari kita cari solusinya.
saya merasa diperlakukan tidak adil,marah,sedang,Keadilan memang penting. Mari bicarakan ini dengan kepala dingin.
saya bangga dengan hasil ujian saya,senang,ringan,Wah hebat! Pertahankan terus prestasimu ya!
hari ini sekolah sangat menyenangkan,senang,ringan,Senang mendengarnya! Semoga harimu terus menyenangkan.
saya merasa bahagia bisa juara kelas,senang,ringan,Selamat ya! Kerja kerasmu akhirnya membuahkan hasil yang manis.
akhirnya tugas saya selesai semua,senang,ringan,Luar biasa! Sekarang saatnya kamu istirahat dan memanjakan diri.
saya suka suasana kelas hari ini,senang,ringan,Senang mendengarnya! Semoga hari-harimu di sekolah terus menyenangkan.
saya dapat pujian dari guru tadi,senang,ringan,Hebat! Pujian itu adalah bukti bahwa kamu melakukan pekerjaan dengan baik.
saya senang bisa membantu teman sekolah,senang,ringan,Kebaikanmu akan kembali padamu. Teruslah menjadi orang baik!
akhir pekan ini saya bisa istirahat,senang,ringan,Manfaatkan waktu istirahatmu sebaik mungkin ya!
saya merasa optimis dengan ujian besok,senang,ringan,Keyakinan diri adalah setengah dari kemenangan. Good luck!
saya senang bertemu teman baik di sekolah,senang,ringan,Teman baik adalah harta karun. Nikmati waktu kalian bersama!
pelajaran hari ini mudah dipahami,senang,ringan,Alhamdulillah! Semoga pelajaran selanjutnya juga terasa mudah ya.
saya merasa sangat bersemangat hari ini,senang,ringan,Energi positifmu sangat bagus! Sebarkan semangat itu ke teman lainnya.
aku sangat bangga dengan nilai ujianku,senang,ringan,Hebat! Hasil kerja kerasmu terbayar tuntas hari ini.
hari ini aku merasa sangat bersemangat sekolah,senang,ringan,Luar biasa! Pertahankan energi positifmu ya.
akhirnya aku paham materi matematika tadi,senang,ringan,Alhamdulillah! Terus asah kemampuanmu kamu pasti bisa.
senang sekali bisa bercanda dengan teman kelas,senang,ringan,Teman adalah pendukung terbaik. Nikmati momen kebersamaan kalian.
guru memuji hasil presentasiku tadi,senang,ringan,Pujian guru adalah bukti kualitas kerjamu. Teruslah berkarya!
aku merasa lebih percaya diri sekarang,senang,ringan,Kepercayaan diri adalah kunci kesuksesan. Aku bangga padamu!
suasana kelas hari ini damai sekali,senang,ringan,Suasana yang tenang memang paling pas untuk belajar dengan nyaman.
aku menang lomba debat antar sekolah,senang,sedang,Selamat atas prestasimu! Kamu sungguh membawa nama baik sekolah.
akhirnya bisa istirahat setelah ujian selesai,senang,ringan,Waktunya memanjakan diri! Kamu berhak mendapatkan istirahat ini.
aku merasa termotivasi untuk belajar lebih giat,senang,ringan,Semangat itu sangat berharga. Teruslah melangkah maju!
aku benci saat teman-teman berisik di kelas,marah,sedang,Wajar jika kamu merasa terganggu. Cobalah tegur dengan sopan ya.
kenapa tugas selalu datang bersamaan,marah,sedang,Tarik napas dulu. Mari kita urutkan tugas mana yang paling penting.
aku kesal karena nilaiku tidak sesuai harapan,marah,sedang,Jadikan kekecewaan ini sebagai bahan evaluasi untuk ujian berikutnya.
teman sekelompokku tidak mau bekerja,marah,sedang,Bicarakan baik-baik di grup kelompok agar pembagian tugas lebih adil.
aku benci melihat orang yang curang saat ujian,marah,sedang,Kejujuranmu jauh lebih berharga daripada nilai hasil kecurangan.
guru itu memberikan hukuman yang tidak adil,marah,berat,Mari kita bicarakan solusinya. Guru BK bisa menjadi penengah yang baik.
aku ingin memaki karena terlalu banyak tekanan,marah,sedang,Luapkan saja di sini. Menumpuk amarah tidak baik bagi kesehatanmu.
aku merasa diperlakukan kasar oleh teman,marah,berat,Tegaslah dalam menetapkan batasan. Jangan biarkan orang lain merendahkanmu.
kenapa semua orang menyalahkan aku,marah,sedang,Tidak semua hal adalah kesalahanmu. Mari kita lihat masalahnya perlahan.
aku lelah dipaksa ikut kegiatan yang tidak kusuka,marah,sedang,Kamu punya hak untuk berpendapat. Cobalah bicarakan minatmu yang sebenarnya.
nilaiku turun lagi padahal sudah belajar,sedih,sedang,Jangan berkecil hati. Mungkin metode belajarmu perlu sedikit disesuaikan.
aku merasa tidak ada yang mengerti perasaanku,sedih,sedang,Aku di sini untuk mendengarkan. Ceritakan saja apa yang mengganjal.
aku rindu suasana rumah saat di sekolah,sedih,ringan,Home sick itu wajar. Cobalah cari kenyamanan di antara teman-temanmu.
aku merasa kesepian meski banyak orang,sedih,sedang,Terkadang kita butuh koneksi yang lebih dalam. Tetaplah membuka diri.
aku sedih karena gagal masuk tim basket,sedih,sedang,Satu kegagalan bukan akhir segalanya. Teruslah berlatih untuk tahun depan!
kenapa hidupku terasa berat sekali,sedih,berat,Kamu sudah bertahan sejauh ini. Kamu jauh lebih kuat dari yang kamu kira.
aku ingin menangis tapi malu dilihat orang,sedih,sedang,Tidak perlu malu. Emosi adalah bagian alami dari manusia.
aku merasa tidak berguna bagi siapapun,sedih,berat,Setiap orang punya peran. Kamu sangat berharga bagi orang-orang terdekatmu.
aku sedih melihat orang tuaku bertengkar,sedih,berat,Ini pasti berat untukmu. Fokuslah pada hal-hal yang bisa kamu kendalikan.
aku merasa kehilangan semangat hidup,sedih,berat,Maukah kamu mempertimbangkan untuk bicara dengan profesional atau guru BK?
aku sedih baru saja putus sama pacar,sedih,berat,Putus cinta memang menyakitkan. Berikan waktumu untuk bersedih kamu akan baik-baik saja.
pacarku selingkuh dan aku sangat marah,marah,berat,Aku mengerti perasaanmu. Kamu pantas mendapatkan seseorang yang menghargai kejujuranmu.
aku merasa galau karena hubungan yang tidak jelas,sedih,sedang,Ketidakpastian memang melelahkan. Cobalah komunikasikan perasaanmu dengannya saat sudah tenang.
pacarku sangat mendukung sekolahku,senang,ringan,Wah itu dukungan yang luar biasa! Hubungan yang positif bisa menjadi motivasi belajar.
aku kesal pacarku tidak ada kabar seharian,marah,ringan,Mungkin dia sedang sibuk atau ada kendala. Coba hubungi lagi nanti ya.
uang jajanku sudah habis padahal baru pertengahan bulan,stres,sedang,Mengelola uang memang menantang. Coba buat catatan pengeluaran agar lebih terkontrol ke depannya.
aku iri melihat uang jajan teman yang banyak,sedih,ringan,Fokuslah pada bagaimana cara mengelola apa yang kamu miliki sekarang dengan sebaik mungkin.
aku harus berhemat karena uang saku menipis,stres,ringan,Semangat ya! Belajar berhemat adalah keahlian yang sangat berguna untuk masa depanmu.
akhirnya dapat uang jajan tambahan dari ayah,senang,ringan,Alhamdulillah! Gunakan dengan bijak mungkin bisa ditabung sebagian?
aku bingung cara mengatur uang jajan mingguan,stres,ringan,Cobalah bagi uangmu ke dalam beberapa kantong atau amplop sesuai kebutuhan harianmu.
aku stres karena belum bayar SPP bulan ini,stres,berat,Masalah finansial memang berat. Cobalah bicarakan dengan orang tua atau pihak sekolah terkait keringanan.
tagihan sekolahku menumpuk dan aku takut ditagih,stres,berat,Jangan dipendam sendiri. Guru BK biasanya bisa membantu mengomunikasikan hal ini.
aku merasa malu karena sering nunggak uang sekolah,sedih,berat,Kondisi ekonomi bukan kesalahanmu. Tetaplah fokus belajar kamu tidak perlu merasa malu.
alhamdulillah tagihan sekolahku sudah lunas semua,senang,ringan,Ikut senang mendengarnya! Sekarang kamu bisa fokus belajar tanpa beban pikiran lagi.
orang tuaku kesulitan membayar biaya ujian,stres,berat,Tetap semangat. Banyak beasiswa atau bantuan sekolah yang bisa diajukan coba tanya ke pihak BK ya.
aku ingin membantu orang tua mencari uang sekolah,senang,sedang,Niatmu sungguh mulia. Fokuslah belajar dulu prestasi yang bagus adalah cara terbaik membahagiakan mereka.
teman sebangkuku mengambil uang di tasku tanpa izin,marah,berat,Aku mengerti kamu sangat marah. Kejujuran itu penting coba bicarakan dengan guru jika kamu merasa tidak aman.
aku kesal karena barang kesukaanku dicuri teman sendiri,marah,sedang,Kehilangan barang memang bikin kesal. Coba cari tahu pelan-pelan siapa yang mengambilnya sebelum menuduh ya.
alat tulisku sering hilang dan aku curiga ada yang mengambilnya,marah,ringan,Cobalah beri label nama pada barang-barangmu agar tidak mudah tertukar atau diambil orang lain.
aku merasa dikhianati karena temanku mengambil barangku,sedih,sedang,Rasa kecewa itu wajar. Sangat berat saat kepercayaan kita dirusak oleh teman sendiri.
aku takut barangku hilang lagi kalau ditaruh di loker,stres,ringan,Wajar jika kamu merasa cemas. Pastikan lokermu terkunci rapat atau bawa barang berhargamu ya.
orang tuaku baru saja memutuskan untuk bercerai,sedih,berat,Ini adalah kabar yang sangat berat. Ingatlah bahwa perceraian mereka bukan kesalahanmu.
aku stres melihat ayah dan ibu selalu bertengkar setiap hari,stres,sedang,Suasana rumah yang penuh konflik pasti melelahkan. Carilah tempat yang tenang di sekolah untuk beristirahat sejenak.
aku bingung harus ikut siapa setelah orang tuaku pisah,sedih,berat,Kebingunganmu sangat bisa dimaklumi. Ceritakan perasaanmu ini kepada orang tua atau orang yang kamu percayai.
hidupku hancur karena keluargaku tidak utuh lagi,sedih,berat,Kamu tidak sendirian. Banyak yang peduli padamu. Jangan ragu untuk mencari bantuan ke guru BK.
aku merasa malu bercerita kalau orang tuaku sudah cerai,sedih,sedang,Kamu tidak perlu malu. cobalah mengobrol dengan guru BK atau teman dekat yang bisa dipercaya.
aku marah kenapa keluargaku tidak bisa bahagia seperti orang lain,marah,berat,Rasa marah itu alami. Cobalah fokus pada hal-hal yang bisa kamu kontrol seperti hobi atau belajarmu.
alhamdulillah aku bisa menerima keputusan cerai orang tuaku demi kebaikan,senang,sedang,Kedewasaanmu luar biasa. Menemukan kedamaian di tengah badai adalah kekuatan yang besar.
aku bingung mau langsung kerja atau lanjut kuliah setelah lulus,stres,sedang,Kebingungan itu wajar. Cobalah buat daftar kelebihan dan kekurangan dari setiap pilihan sesuai minatmu.
orang tuaku menyuruh kuliah padahal aku ingin bekerja,marah,sedang,Komunikasikan alasanmu kepada orang tua. Mungkin kalian bisa mencari jalan tengah yang baik.
aku sedih karena tidak punya biaya untuk lanjut kuliah,sedih,berat,Jangan patah semangat. Ada banyak program beasiswa yang bisa kamu coba ajukan melalui guru BK.
aku senang sekali akhirnya diterima di universitas impian,senang,ringan,Selamat ya! Perjuanganmu membuahkan hasil. Nikmati masa kuliahmu dengan penuh semangat.
aku merasa stres memikirkan tes masuk perguruan tinggi,stres,sedang,Persiapan yang matang akan mengurangi rasa cemas. Jangan lupa istirahat yang cukup ya.
aku ingin langsung kerja agar bisa membantu ekonomi keluarga,senang,sedang,Niatmu sangat mulia. Fokuslah mencari informasi lowongan kerja yang sesuai dengan keahlianmu.
aku merasa minder karena teman-teman semua lanjut kuliah,sedih,sedang,Setiap orang punya jalan hidup masing-masing. Sukses tidak hanya datang dari bangku perkuliahan saja.
akhirnya aku dapat tawaran kerja sebelum lulus sekolah,senang,ringan,Wah prestasi yang luar biasa! Semoga karirmu berjalan lancar dan berkah.
aku tidak senang hari ini,sedih,ringan, Apa yang membuatmu merasa tidak senang? Aku di sini untuk mendengarkan.
aku tidak senang sekolah disini,sedih,sedang,Aku mengerti perasaanmu. Apa yang bisa kita lakukan untuk membuat pengalaman sekolahmu lebih baik?
aku tidak suka sekolah di sini karena lingkungannya tidak mendukung,marah,sedang,Setiap tempat punya tantangan tersendiri. Mari kita cari tahu hal spesifik apa yang membuatmu tidak nyaman.
aku merasa tidak cocok dengan sistem belajar di sekolah ini,stres,sedang,Wajar jika kamu butuh waktu adaptasi. Coba ceritakan sistem seperti apa yang menurutmu lebih efektif?
rasanya aku ingin pindah sekolah saja bulan depan,sedih,sedang,Keinginan pindah adalah keputusan besar. Apakah sudah kamu bicarakan dengan orang tua mengenai alasan utamanya?
aku benci suasana kelas ini dan ingin keluar secepatnya,marah,berat,Tarik napas dulu. Jika ada masalah dengan teman atau guru di kelas mari kita cari solusinya bersama.
aku merasa salah masuk sekolah dan ingin mengulang tahun depan,sedih,berat,Merasa salah jurusan atau sekolah memang berat. Jangan terburu-buru mari kita evaluasi lagi potensi yang kamu miliki sekarang.
aku lelah harus bertahan di sekolah yang penuh tekanan ini,stres,berat,Kamu sudah hebat bisa bertahan sampai sejauh ini. Istirahatlah sejenak dan mari kita susun strategi agar sekolah terasa lebih ringan.
aku lebih suka sekolah lamaku daripada yang sekarang,sedih,ringan,Rasa rindu pada tempat lama itu normal saat masa adaptasi. Cobalah cari satu hal positif di sekolah baru ini setiap hari.
aku stres karena tidak punya alasan untuk semangat sekolah di sini,stres,sedang,Mungkin kamu perlu menemukan komunitas atau ekstrakurikuler yang sesuai dengan hobi kamu agar sekolah lebih berwarna.
aku sebenarnya ingin curhat ke guru bk tapi takut,sedih,sedang,Jangan takut ya. Guru BK adalah teman siswa dan rahasiamu akan terjaga dengan aman.
apakah guru bk akan memarahi aku kalau aku cerita masalahku,stres,ringan,Tentu tidak. Guru BK di sini untuk membimbing dan membantumu mencari jalan keluar bukan untuk menghakimi.
aku mau cerita ke guru bk tapi bingung mulainya dari mana,stres,sedang,Mulai saja dari apa yang paling mengganjal di hatimu saat ini. Guru BK akan mendengarkan dengan sabar kok.
aku merasa lebih tenang setelah tahu ada guru bk yang bisa diajak bicara,senang,ringan,Syukurlah! Itu langkah awal yang sangat bagus. Guru BK selalu terbuka untukmu.
terima kasih sudah menyarankan aku untuk menemui guru bk,senang,ringan,Sama-sama! Semoga masalahmu cepat selesai setelah berdiskusi dengan mereka ya.
aku ragu apakah masalah sepele seperti ini boleh diceritakan ke guru bk,sedih,ringan,Tidak ada masalah yang terlalu kecil. Jika itu mengganggu pikiranmu guru BK pasti akan dengan senang hati mendengarkan.
aku takut guru bk akan melaporkan ceritaku ke orang tua,stres,berat,Guru BK memiliki kode etik profesional untuk menjaga kerahasiaanmu. Kamu bisa mendiskusikan batasan privasi ini di awal sesi curhat.
aku senang karena guru bk ternyata sangat baik dan ramah,senang,ringan,Luar biasa! Ternyata bercerita itu melegakan bukan? Tetaplah jalin komunikasi yang baik dengan mereka.
saya suka dibully di kelas,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
aku sering dibully oleh temanku,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
temanku sering membully,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
saya diejek gendut ,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
saya dihina jelek ,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
saya capek banget dengan tugas sekolah,stres,sedang,Istirahat sejenak yuk. Kamu sudah berusaha hebat hari ini.
pelajaran makin susah dan bikin pusing,stres,sedang,Jangan dipaksakan sekaligus. Coba kerjakan pelan-pelan ya.
saya stres karena tuntutan nilai,stres,sedang,Nilai itu penting tapi kesehatan mentalmu jauh lebih utama.
kepala saya penuh mikir pelajaran,stres,sedang,Coba lakukan hobi sejenak agar pikiranmu lebih segar kembali.
saya tertekan dengan tugas sekolah,stres,sedang,Mungkin kamu bisa membuat daftar prioritas tugas yang paling mendesak.
tugas menumpuk bikin saya ingin menyerah,stres,berat,Kamu tidak sendirian. Guru BK siap membantu jika kamu merasa kewalahan.
saya takut tidak lulus ujian,stres,berat,Fokus pada persiapan saat ini. Hasil akhir adalah buah dari usaha kerasmu.
saya susah konsentrasi saat belajar,stres,sedang,Cobalah belajar dengan teknik Pomodoro (25 menit belajar 5 menit istirahat).
saya merasa cemas di sekolah,stres,sedang,Latihan pernapasan bisa membantu menenangkan rasa cemasmu.
saya bingung mau lanjut kuliah dimana,stres,ringan,Konsultasikan minat dan bakatmu dengan guru BK untuk saran terbaik.
saya kurang tidur karena tugas,stres,sedang,Kesehatanmu nomor satu. Atur jadwal agar tetap bisa tidur cukup.
saya lelah secara mental,stres,ringan,Jangan lupa untuk tidur yang cukup. Tubuh dan pikiranmu butuh waktu untuk pulih.
saya merasa bodoh dan gagal,sedih,sedang,Setiap orang punya waktu masing-masing untuk bersinar. Jangan menyerah!
saya minder dengan teman-teman,sedih,sedang,Fokuslah pada progres dirimu sendiri bukan pencapaian orang lain.
saya merasa hidup saya kosong,sedih,sedang,Tidak apa-apa merasa begini. Cobalah bicara dengan orang yang kamu percayai.
saya sedih tanpa sebab yang jelas,sedih,ringan,Terkadang emosi butuh ruang untuk keluar. Menangis itu manusiawi.
saya kecewa dengan diri sendiri,sedih,ringan,Kegagalan adalah bagian dari belajar. Berikan dirimu kesempatan lagi.
saya menangis di kamar setiap malam,sedih,berat,Ini terdengar berat. Maukah kamu mempertimbangkan bicara langsung ke guru BK?
saya merasa tidak punya teman di kelas,sedih,sedang,Mungkin butuh waktu untuk menemukan teman yang cocok. Tetaplah jadi dirimu sendiri.
saya merasa tidak berbakat dalam apapun,sedih,ringan,Bakat seringkali ditemukan melalui percobaan berkali-kali. Teruslah mencoba.
saya merasa terisolasi di sekolah,sedih,sedang,Cobalah ikuti ekstrakurikuler untuk mencari lingkaran pertemanan baru.
saya merasa masa depan saya suram,sedih,berat,Masa depan ditentukan oleh langkahmu hari ini. Mulailah dari langkah kecil.
saya capek harus pura-pura bahagia,sedih,berat,Kamu tidak perlu selalu terlihat kuat. Ekspresikan apa yang kamu rasakan.
saya sering merasa kesepian,sedih,sedang,Ingatlah bahwa kamu tidak sendirian. Ada orang-orang yang peduli padamu.
saya gampang marah akhir-akhir ini,marah,sedang,Tarik napas dalam-dalam. Mari kita cari tahu apa yang sebenarnya mengganggumu.
saya benci hari senin karena sekolah,marah,sedang,Hari Senin memang berat tapi coba temukan satu hal kecil yang bikin senang.
temen saya sering mengejek saya,marah,sedang,Abaikan mereka yang tidak menghargaimu. Kamu berharga apa adanya.
guru memberikan beban terlalu banyak,marah,sedang,Cobalah komunikasikan dengan guru tersebut atau cari teman diskusi.
saya sering dibully di sekolah,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
saya benci pelajaran matematika,marah,ringan,Wajar jika ada pelajaran yang sulit. Coba cari bantuan tutor atau teman.
saya merasa selalu salah di mata guru,marah,sedang,Cobalah berdiskusi dengan guru tersebut untuk memperbaiki komunikasi.
saya ingin pindah sekolah saja,marah,berat,Pikirkan matang-matang alasan utamanya sebelum mengambil keputusan besar.
kenapa sekolah harus melelahkan begini,marah,sedang,Sekolah adalah proses pendewasaan. Nikmati saja prosesnya perlahan.
saya benci saat teman menyontek saya,marah,ringan,Wajar jika kamu marah. Kamu berhak menjaga hasil kerja kerasmu.
saya benci suasana di kelas,marah,sedang,Apa yang spesifik membuatmu tidak nyaman? Mari kita cari solusinya.
saya merasa diperlakukan tidak adil,marah,sedang,Keadilan memang penting. Mari bicarakan ini dengan kepala dingin.
saya bangga dengan hasil ujian saya,senang,ringan,Wah hebat! Pertahankan terus prestasimu ya!
hari ini sekolah sangat menyenangkan,senang,ringan,Senang mendengarnya! Semoga harimu terus menyenangkan.
saya merasa bahagia bisa juara kelas,senang,ringan,Selamat ya! Kerja kerasmu akhirnya membuahkan hasil yang manis.
akhirnya tugas saya selesai semua,senang,ringan,Luar biasa! Sekarang saatnya kamu istirahat dan memanjakan diri.
saya suka suasana kelas hari ini,senang,ringan,Senang mendengarnya! Semoga hari-harimu di sekolah terus menyenangkan.
saya dapat pujian dari guru tadi,senang,ringan,Hebat! Pujian itu adalah bukti bahwa kamu melakukan pekerjaan dengan baik.
saya senang bisa membantu teman sekolah,senang,ringan,Kebaikanmu akan kembali padamu. Teruslah menjadi orang baik!
akhir pekan ini saya bisa istirahat,senang,ringan,Manfaatkan waktu istirahatmu sebaik mungkin ya!
saya merasa optimis dengan ujian besok,senang,ringan,Keyakinan diri adalah setengah dari kemenangan. Good luck!
saya senang bertemu teman baik di sekolah,senang,ringan,Teman baik adalah harta karun. Nikmati waktu kalian bersama!
pelajaran hari ini mudah dipahami,senang,ringan,Alhamdulillah! Semoga pelajaran selanjutnya juga terasa mudah ya.
saya merasa sangat bersemangat hari ini,senang,ringan,Energi positifmu sangat bagus! Sebarkan semangat itu ke teman lainnya.
aku sangat bangga dengan nilai ujianku,senang,ringan,Hebat! Hasil kerja kerasmu terbayar tuntas hari ini.
hari ini aku merasa sangat bersemangat sekolah,senang,ringan,Luar biasa! Pertahankan energi positifmu ya.
akhirnya aku paham materi matematika tadi,senang,ringan,Alhamdulillah! Terus asah kemampuanmu kamu pasti bisa.
senang sekali bisa bercanda dengan teman kelas,senang,ringan,Teman adalah pendukung terbaik. Nikmati momen kebersamaan kalian.
guru memuji hasil presentasiku tadi,senang,ringan,Pujian guru adalah bukti kualitas kerjamu. Teruslah berkarya!
aku merasa lebih percaya diri sekarang,senang,ringan,Kepercayaan diri adalah kunci kesuksesan. Aku bangga padamu!
suasana kelas hari ini damai sekali,senang,ringan,Suasana yang tenang memang paling pas untuk belajar dengan nyaman.
aku menang lomba debat antar sekolah,senang,sedang,Selamat atas prestasimu! Kamu sungguh membawa nama baik sekolah.
akhirnya bisa istirahat setelah ujian selesai,senang,ringan,Waktunya memanjakan diri! Kamu berhak mendapatkan istirahat ini.
aku merasa termotivasi untuk belajar lebih giat,senang,ringan,Semangat itu sangat berharga. Teruslah melangkah maju!
aku benci saat teman-teman berisik di kelas,marah,sedang,Wajar jika kamu merasa terganggu. Cobalah tegur dengan sopan ya.
kenapa tugas selalu datang bersamaan,marah,sedang,Tarik napas dulu. Mari kita urutkan tugas mana yang paling penting.
aku kesal karena nilaiku tidak sesuai harapan,marah,sedang,Jadikan kekecewaan ini sebagai bahan evaluasi untuk ujian berikutnya.
teman sekelompokku tidak mau bekerja,marah,sedang,Bicarakan baik-baik di grup kelompok agar pembagian tugas lebih adil.
aku benci melihat orang yang curang saat ujian,marah,sedang,Kejujuranmu jauh lebih berharga daripada nilai hasil kecurangan.
guru itu memberikan hukuman yang tidak adil,marah,berat,Mari kita bicarakan solusinya. Guru BK bisa menjadi penengah yang baik.
aku ingin memaki karena terlalu banyak tekanan,marah,sedang,Luapkan saja di sini. Menumpuk amarah tidak baik bagi kesehatanmu.
aku merasa diperlakukan kasar oleh teman,marah,berat,Tegaslah dalam menetapkan batasan. Jangan biarkan orang lain merendahkanmu.
kenapa semua orang menyalahkan aku,marah,sedang,Tidak semua hal adalah kesalahanmu. Mari kita lihat masalahnya perlahan.
aku lelah dipaksa ikut kegiatan yang tidak kusuka,marah,sedang,Kamu punya hak untuk berpendapat. Cobalah bicarakan minatmu yang sebenarnya.
nilaiku turun lagi padahal sudah belajar,sedih,sedang,Jangan berkecil hati. Mungkin metode belajarmu perlu sedikit disesuaikan.
aku merasa tidak ada yang mengerti perasaanku,sedih,sedang,Aku di sini untuk mendengarkan. Ceritakan saja apa yang mengganjal.
aku rindu suasana rumah saat di sekolah,sedih,ringan,Home sick itu wajar. Cobalah cari kenyamanan di antara teman-temanmu.
aku merasa kesepian meski banyak orang,sedih,sedang,Terkadang kita butuh koneksi yang lebih dalam. Tetaplah membuka diri.
aku sedih karena gagal masuk tim basket,sedih,sedang,Satu kegagalan bukan akhir segalanya. Teruslah berlatih untuk tahun depan!
kenapa hidupku terasa berat sekali,sedih,berat,Kamu sudah bertahan sejauh ini. Kamu jauh lebih kuat dari yang kamu kira.
aku ingin menangis tapi malu dilihat orang,sedih,sedang,Tidak perlu malu. Emosi adalah bagian alami dari manusia.
aku merasa tidak berguna bagi siapapun,sedih,berat,Setiap orang punya peran. Kamu sangat berharga bagi orang-orang terdekatmu.
aku sedih melihat orang tuaku bertengkar,sedih,berat,Ini pasti berat untukmu. Fokuslah pada hal-hal yang bisa kamu kendalikan.
